               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.077282,           0.0059458,            0.033458,          0.00020824,            0.055046,          0.00013621,          2.7427e-05,            0.074547,           0.0026906,            0.030996,            0.070048,            0.003328,            0.003328
                   1,               0.073,           0.0048602,            0.028118,          0.00018795,             0.16514,            0.000202,          4.9016e-05,             0.07383,           0.0016604,            0.028279,            0.040022,            0.006635,            0.006635
                   2,            0.070316,           0.0044407,            0.027371,          0.00015145,             0.13073,          0.00068236,          0.00014103,             0.07615,           0.0016318,            0.027724,           0.0099688,           0.0099155,           0.0099155
                   3,            0.070157,           0.0039877,            0.027065,          0.00026604,            0.075688,          0.00019606,          4.4648e-05,            0.074322,           0.0017412,            0.025854,           0.0098812,           0.0098812,           0.0098812
                   4,            0.069388,           0.0040256,             0.02587,          0.00030183,            0.087156,          0.00022295,          5.3969e-05,            0.070846,           0.0018468,            0.023904,           0.0098812,           0.0098812,           0.0098812
                   5,            0.067484,           0.0037398,            0.024693,          0.00013725,            0.045872,          8.3462e-05,          1.7747e-05,             0.06947,           0.0018912,            0.023418,           0.0098416,           0.0098416,           0.0098416
                   6,            0.066031,           0.0037069,            0.023881,           0.0002074,            0.011468,          0.00011297,          2.0227e-05,            0.070775,           0.0019143,              0.0229,            0.009802,            0.009802,            0.009802
                   7,            0.065579,           0.0037779,            0.023665,          0.00028532,            0.057339,          0.00019154,          4.1403e-05,            0.067586,           0.0019868,            0.021502,           0.0097624,           0.0097624,           0.0097624
                   8,            0.064829,           0.0038862,            0.022962,          9.5795e-05,           0.0091743,          5.0042e-05,          1.3664e-05,            0.066953,           0.0020249,            0.022375,           0.0097228,           0.0097228,           0.0097228
                   9,            0.064096,           0.0038999,            0.022929,           0.0023364,            0.009434,           0.0012456,          0.00018636,            0.064757,           0.0021008,            0.019822,           0.0096832,           0.0096832,           0.0096832
                  10,             0.06403,            0.004009,            0.022014,          0.00034884,           0.0068807,          0.00017987,          8.9191e-05,            0.067259,           0.0019803,            0.020292,           0.0096436,           0.0096436,           0.0096436
                  11,            0.063634,           0.0038007,            0.021825,          0.00015531,            0.029817,          8.9547e-05,          2.2068e-05,            0.065216,           0.0020466,            0.019567,            0.009604,            0.009604,            0.009604
                  12,            0.062491,           0.0037344,            0.021464,           0.0030457,             0.12835,           0.0048269,           0.0013362,            0.064057,           0.0020843,            0.019164,           0.0095644,           0.0095644,           0.0095644
                  13,            0.063983,           0.0037899,            0.020766,           0.0034058,             0.14021,           0.0033241,          0.00084053,            0.063904,           0.0021098,            0.019539,           0.0095248,           0.0095248,           0.0095248
                  14,            0.061624,           0.0037826,            0.019652,           0.0049032,             0.16085,            0.005049,           0.0012363,            0.064492,           0.0020914,            0.018332,           0.0094852,           0.0094852,           0.0094852
