               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.063909,            0.014239,            0.024896,          0.00040335,             0.23637,          0.00085515,          0.00016403,            0.065519,            0.005909,            0.022598,            0.070024,           0.0033307,           0.0033307
                   1,             0.05477,            0.010617,            0.018384,          0.00074245,             0.32685,           0.0036653,          0.00073949,            0.064662,           0.0055552,            0.018004,            0.039991,            0.006631,            0.006631
                   2,            0.053575,           0.0098671,            0.017055,             0.77841,            0.048165,            0.018941,           0.0045397,            0.056029,           0.0057575,            0.015227,            0.009925,           0.0098984,           0.0098984
                   3,            0.049126,           0.0089895,            0.015197,             0.51427,             0.10092,            0.018479,            0.004588,            0.056787,            0.005392,            0.014405,           0.0098515,           0.0098515,           0.0098515
                   4,            0.047712,           0.0090546,            0.015082,             0.79272,            0.059633,            0.052219,            0.016366,            0.052964,           0.0053116,            0.013859,           0.0098515,           0.0098515,           0.0098515
                   5,            0.048148,           0.0089703,            0.015005,             0.79333,            0.082569,            0.054945,            0.012333,            0.051889,           0.0053654,            0.012404,            0.009802,            0.009802,            0.009802
                   6,            0.044393,           0.0085052,            0.013536,             0.78634,              0.1055,            0.058516,            0.016079,            0.050176,           0.0052843,            0.010815,           0.0097525,           0.0097525,           0.0097525
                   7,            0.044416,           0.0085418,            0.013658,             0.82607,            0.082569,            0.076574,             0.02362,            0.050729,           0.0051117,            0.012383,            0.009703,            0.009703,            0.009703
                   8,            0.043949,           0.0089069,            0.012763,             0.40235,              0.1395,             0.10228,            0.022584,            0.048265,           0.0051659,            0.011181,           0.0096535,           0.0096535,           0.0096535
                   9,            0.044739,           0.0090495,            0.012397,             0.41524,             0.13856,            0.093411,            0.023025,            0.049872,           0.0051824,            0.009899,            0.009604,            0.009604,            0.009604
                  10,            0.042347,           0.0084442,            0.012023,            0.056294,             0.18352,             0.10611,            0.032825,            0.048812,           0.0050359,            0.010535,           0.0095545,           0.0095545,           0.0095545
                  11,            0.042056,           0.0084123,            0.011395,             0.32614,              0.2358,            0.092329,            0.026239,            0.048843,            0.005077,            0.010346,            0.009505,            0.009505,            0.009505
                  12,            0.041586,           0.0083532,            0.011294,             0.36358,             0.25907,             0.13344,            0.037641,            0.048221,           0.0048598,            0.010294,           0.0094555,           0.0094555,           0.0094555
                  13,            0.042443,           0.0084033,            0.011041,             0.65684,             0.14139,             0.12919,             0.03832,            0.047947,           0.0048553,            0.011341,            0.009406,            0.009406,            0.009406
                  14,             0.04095,           0.0080617,            0.010808,             0.38605,             0.21414,             0.14237,            0.038071,            0.047346,           0.0049329,           0.0097628,           0.0093565,           0.0093565,           0.0093565
                  15,            0.039762,           0.0078213,            0.010064,             0.33588,             0.21114,             0.14017,            0.037851,            0.048319,           0.0049383,            0.010178,            0.009307,            0.009307,            0.009307
                  16,            0.042499,           0.0084158,            0.010673,             0.14431,             0.19551,             0.13339,             0.03728,            0.047553,           0.0049451,            0.010339,           0.0092575,           0.0092575,           0.0092575
                  17,            0.041161,           0.0084802,            0.011048,             0.39862,             0.12898,             0.15448,             0.04095,             0.04774,           0.0048297,             0.01077,            0.009208,            0.009208,            0.009208
                  18,            0.039627,            0.008025,           0.0099584,             0.41143,              0.1828,             0.14232,            0.039633,             0.04663,           0.0048788,            0.012003,           0.0091585,           0.0091585,           0.0091585
                  19,             0.04055,           0.0083115,            0.010099,             0.62598,             0.18089,             0.12637,            0.036915,            0.046081,           0.0049579,            0.010291,            0.009109,            0.009109,            0.009109
                  20,            0.040276,           0.0084719,           0.0094921,             0.65085,             0.15815,             0.14627,            0.049069,            0.047451,           0.0049582,           0.0094551,           0.0090595,           0.0090595,           0.0090595
                  21,            0.038529,           0.0081347,           0.0095156,             0.09826,             0.33034,             0.13555,            0.040413,            0.045987,           0.0052016,            0.011981,             0.00901,             0.00901,             0.00901
                  22,            0.041117,           0.0083625,            0.010331,             0.50021,             0.18271,             0.14625,            0.048399,            0.048077,           0.0050088,            0.011168,           0.0089605,           0.0089605,           0.0089605
                  23,            0.039714,           0.0084887,           0.0099914,             0.68679,              0.1538,             0.17462,            0.049594,            0.046502,           0.0048188,            0.011114,            0.008911,            0.008911,            0.008911
                  24,            0.039496,           0.0084901,           0.0098569,             0.38017,             0.19792,             0.11442,            0.033375,            0.045686,           0.0051813,            0.009768,           0.0088615,           0.0088615,           0.0088615
                  25,            0.038961,            0.007985,           0.0093971,             0.39075,             0.20632,             0.16502,            0.059077,            0.046283,           0.0048411,            0.011219,            0.008812,            0.008812,            0.008812
                  26,            0.037362,           0.0077048,           0.0085756,             0.40026,             0.23735,             0.15237,            0.047267,            0.048094,           0.0048093,            0.011681,           0.0087625,           0.0087625,           0.0087625
                  27,            0.039203,           0.0083136,           0.0089547,             0.13227,             0.32433,             0.14001,            0.044577,             0.04663,           0.0048644,           0.0096223,            0.008713,            0.008713,            0.008713
                  28,            0.038853,            0.008162,           0.0084523,             0.67329,             0.19749,             0.16792,            0.050166,            0.045764,            0.004848,            0.010343,           0.0086635,           0.0086635,           0.0086635
                  29,             0.03857,           0.0081273,           0.0089195,             0.39843,             0.18227,               0.136,            0.042487,            0.046686,           0.0050181,            0.010782,            0.008614,            0.008614,            0.008614
                  30,            0.036959,           0.0079476,           0.0085342,             0.18141,             0.26581,             0.16537,              0.0543,            0.045428,            0.004853,            0.010001,           0.0085645,           0.0085645,           0.0085645
                  31,            0.038084,           0.0081154,           0.0092072,             0.39891,             0.21193,             0.19068,            0.051157,            0.045502,           0.0048451,           0.0097066,            0.008515,            0.008515,            0.008515
