               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.084863,            0.014366,            0.032442,          0.00024183,             0.16055,          0.00098466,          0.00022203,            0.079569,           0.0057927,            0.026899,            0.070048,            0.003328,            0.003328
                   1,            0.073678,            0.010748,            0.025023,          0.00096796,             0.35912,           0.0028075,          0.00060707,            0.073378,           0.0060039,            0.021827,            0.040015,           0.0066284,           0.0066284
                   2,            0.071126,            0.010291,            0.021973,          0.00084753,             0.39835,           0.0039128,           0.0013177,            0.075971,           0.0058592,            0.021905,            0.009949,           0.0098957,           0.0098957
                   3,            0.069146,           0.0093782,            0.022207,             0.76276,            0.020642,            0.016324,           0.0037743,            0.068597,           0.0058655,            0.019339,           0.0098515,           0.0098515,           0.0098515
                   4,            0.067863,           0.0095207,            0.020614,             0.75835,             0.13303,            0.018748,           0.0052448,            0.067579,           0.0056102,            0.018395,           0.0098515,           0.0098515,           0.0098515
                   5,            0.065084,           0.0090197,            0.020363,             0.77707,             0.09607,            0.030877,           0.0080447,            0.067427,           0.0056261,            0.016093,            0.009802,            0.009802,            0.009802
                   6,            0.064197,           0.0088984,            0.019164,             0.78861,            0.074148,            0.051175,             0.01519,            0.063114,           0.0055657,            0.014144,           0.0097525,           0.0097525,           0.0097525
                   7,            0.062609,            0.008946,            0.019426,             0.77775,            0.055046,            0.026899,           0.0072452,            0.063886,            0.005705,            0.015008,            0.009703,            0.009703,            0.009703
                   8,            0.062313,           0.0091846,            0.017998,             0.78134,            0.073394,            0.036658,           0.0095146,            0.063171,           0.0054589,            0.017058,           0.0096535,           0.0096535,           0.0096535
                   9,            0.061509,           0.0089059,            0.017621,             0.80614,            0.077052,            0.070637,            0.019012,            0.063042,           0.0051901,            0.012561,            0.009604,            0.009604,            0.009604
                  10,            0.060381,           0.0091242,             0.01686,             0.31046,            0.083246,            0.086857,            0.022524,            0.062871,           0.0051866,            0.013279,           0.0095545,           0.0095545,           0.0095545
