               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.092733,            0.014299,            0.036426,           0.0004152,             0.24096,           0.0011329,           0.0002598,            0.077177,           0.0059376,            0.026497,            0.070096,           0.0033227,           0.0033227
                   1,            0.082036,            0.010778,            0.026825,          0.00093038,             0.41573,           0.0066097,              0.0015,            0.073612,           0.0056906,             0.02015,            0.040063,           0.0066231,           0.0066231
                   2,            0.077599,            0.010292,            0.025182,           0.0013904,             0.49103,            0.012936,              0.0032,            0.070422,           0.0058169,            0.018133,            0.009997,           0.0098905,           0.0098905
                   3,            0.074194,           0.0099961,            0.023227,             0.78297,            0.041284,            0.023612,           0.0053736,            0.068305,           0.0057974,             0.01674,           0.0098515,           0.0098515,           0.0098515
                   4,            0.074036,           0.0093511,             0.02322,             0.76566,            0.043578,            0.024323,           0.0065056,            0.069109,           0.0057713,             0.01716,           0.0098515,           0.0098515,           0.0098515
                   5,            0.072242,           0.0098293,            0.021312,             0.77696,            0.080275,            0.044637,            0.011544,            0.067068,           0.0052984,            0.014832,            0.009802,            0.009802,            0.009802
                   6,            0.071415,           0.0093389,            0.021545,              0.7871,            0.082569,            0.083764,            0.021681,            0.064724,            0.005381,            0.015247,           0.0097525,           0.0097525,           0.0097525
                   7,            0.069562,           0.0090665,            0.021187,             0.79565,            0.073394,            0.070117,             0.01758,             0.06383,           0.0053453,            0.015631,            0.009703,            0.009703,            0.009703
                   8,            0.068481,           0.0092103,            0.020178,             0.77508,             0.13303,            0.080873,            0.022789,             0.06342,           0.0052532,            0.015108,           0.0096535,           0.0096535,           0.0096535
                   9,            0.068942,           0.0089955,             0.02008,             0.82809,            0.055046,            0.066413,            0.022278,            0.063618,           0.0053368,            0.014019,            0.009604,            0.009604,            0.009604
                  10,            0.067587,           0.0087435,            0.019506,             0.78607,            0.066514,            0.065619,            0.015575,            0.062083,           0.0056246,            0.014561,           0.0095545,           0.0095545,           0.0095545
                  11,            0.066176,           0.0083896,            0.019414,             0.79255,             0.11468,            0.066923,             0.01936,            0.059288,            0.005544,              0.0143,            0.009505,            0.009505,            0.009505
