               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.086292,            0.016976,            0.035592,          8.9953e-05,            0.057339,          5.5452e-05,          1.2756e-05,            0.084609,           0.0079586,            0.034881,            0.070048,            0.003328,            0.003328
                   1,            0.083234,            0.013243,             0.03147,          8.4143e-05,            0.061927,          7.0807e-05,          1.3835e-05,            0.085598,           0.0060968,            0.032931,            0.040022,            0.006635,            0.006635
                   2,            0.081582,             0.01214,             0.02932,          0.00012461,              0.1078,          0.00015822,          3.2145e-05,            0.082149,           0.0061586,             0.02948,           0.0099688,           0.0099155,           0.0099155
                   3,             0.07956,            0.011015,            0.028476,          0.00017772,             0.15596,           0.0007183,          0.00013878,            0.080455,           0.0055978,            0.028352,           0.0098812,           0.0098812,           0.0098812
                   4,            0.078346,            0.011134,            0.027951,          0.00029272,             0.16149,           0.0010316,          0.00018387,            0.079844,           0.0056322,            0.027674,           0.0098812,           0.0098812,           0.0098812
                   5,            0.076678,            0.010357,            0.027622,          0.00022623,             0.18349,          0.00072503,          0.00014814,            0.077102,           0.0057595,            0.026965,           0.0098416,           0.0098416,           0.0098416
                   6,            0.073987,            0.010305,            0.026334,          0.00050802,             0.20696,          0.00087001,          0.00022233,            0.078678,           0.0057433,            0.025978,            0.009802,            0.009802,            0.009802
                   7,            0.074333,            0.010324,            0.026014,          0.00045082,             0.19779,           0.0010085,          0.00023667,            0.077224,            0.005904,             0.02473,           0.0097624,           0.0097624,           0.0097624
                   8,            0.074193,            0.010628,            0.026129,          0.00041041,             0.18996,           0.0010744,          0.00025804,            0.076317,           0.0059947,            0.024777,           0.0097228,           0.0097228,           0.0097228
                   9,            0.073902,            0.010542,            0.025919,          0.00090755,              0.2414,           0.0013766,          0.00026125,            0.075489,           0.0059586,             0.02366,           0.0096832,           0.0096832,           0.0096832
                  10,            0.072936,            0.010881,            0.025301,          0.00041283,             0.21963,           0.0014035,          0.00033534,            0.076831,           0.0060242,            0.023813,           0.0096436,           0.0096436,           0.0096436
                  11,            0.072189,            0.010362,            0.024667,          0.00059991,             0.26952,           0.0011983,          0.00027731,            0.074812,           0.0062341,            0.023592,            0.009604,            0.009604,            0.009604
                  12,            0.070673,            0.010222,            0.024301,           0.0011438,             0.34428,           0.0019314,           0.0003897,             0.07461,           0.0060297,            0.022031,           0.0095644,           0.0095644,           0.0095644
                  13,            0.072643,            0.010215,            0.022978,           0.0011995,             0.41924,           0.0026501,          0.00060587,            0.074519,           0.0059634,            0.021217,           0.0095248,           0.0095248,           0.0095248
                  14,            0.070563,            0.010141,              0.0227,           0.0011405,             0.34075,           0.0021329,          0.00045701,            0.073632,           0.0059436,              0.0203,           0.0094852,           0.0094852,           0.0094852
                  15,            0.070008,            0.010273,            0.023632,           0.0010946,             0.40622,           0.0068856,           0.0018362,            0.072213,           0.0060957,            0.020784,           0.0094456,           0.0094456,           0.0094456
                  16,            0.070394,            0.010587,            0.023104,           0.0013846,             0.51958,            0.011222,           0.0023559,            0.070845,           0.0059331,            0.019771,            0.009406,            0.009406,            0.009406
                  17,            0.068786,             0.01029,            0.022264,          0.00091718,             0.50285,           0.0086442,           0.0015539,            0.072526,            0.006017,            0.020555,           0.0093664,           0.0093664,           0.0093664
                  18,            0.070339,            0.010272,             0.02198,           0.0012081,             0.51097,           0.0079368,           0.0014287,            0.071642,           0.0059465,            0.018456,           0.0093268,           0.0093268,           0.0093268
                  19,            0.069002,            0.010159,            0.021961,           0.0013376,             0.50577,            0.012216,           0.0021895,            0.071515,           0.0058541,            0.019053,           0.0092872,           0.0092872,           0.0092872
                  20,            0.066977,           0.0095601,            0.021503,           0.0013771,             0.56571,            0.011994,           0.0026574,            0.070968,           0.0058491,            0.019334,           0.0092476,           0.0092476,           0.0092476
                  21,            0.066696,            0.010049,            0.020534,           0.0013454,             0.53326,            0.014852,           0.0033713,            0.069709,           0.0058509,            0.018096,            0.009208,            0.009208,            0.009208
                  22,            0.066076,            0.010124,            0.020318,             0.77137,            0.018013,            0.014668,            0.003419,            0.070132,           0.0059336,            0.017217,           0.0091684,           0.0091684,           0.0091684
                  23,            0.066353,           0.0098403,            0.020356,           0.0013687,              0.5401,            0.016503,            0.003467,            0.068841,           0.0058926,            0.017336,           0.0091288,           0.0091288,           0.0091288
                  24,            0.065023,           0.0097711,            0.020109,             0.51683,            0.092003,            0.014031,           0.0033238,            0.069183,           0.0056448,             0.01708,           0.0090892,           0.0090892,           0.0090892
                  25,            0.065929,           0.0098404,            0.019397,             0.51518,             0.06422,            0.019714,           0.0050913,            0.066442,           0.0060822,            0.017385,           0.0090496,           0.0090496,           0.0090496
