               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.041601,             0.01351,            0.016726,          0.00017849,             0.11104,           0.0004139,          7.6024e-05,             0.04867,           0.0057849,            0.016884,            0.070012,            0.003332,            0.003332
                   1,            0.034998,           0.0099904,            0.012644,          0.00065538,             0.34009,           0.0015837,          0.00039365,            0.044117,           0.0057028,            0.013981,            0.039979,           0.0066323,           0.0066323
                   2,            0.033501,           0.0094688,            0.010907,             0.76268,             0.03211,            0.020816,           0.0064665,            0.041463,           0.0055785,            0.011768,            0.009913,           0.0098997,           0.0098997
                   3,            0.031467,           0.0087434,            0.010374,             0.81004,            0.068807,            0.045052,            0.013212,            0.038589,           0.0052758,            0.010766,           0.0098515,           0.0098515,           0.0098515
                   4,            0.029311,           0.0085707,           0.0093297,             0.80866,            0.057339,            0.062473,            0.020137,            0.037689,           0.0052793,           0.0087363,           0.0098515,           0.0098515,           0.0098515
                   5,            0.026921,           0.0078059,           0.0081356,             0.55666,            0.055046,            0.060228,            0.016978,            0.035926,           0.0053005,           0.0081258,            0.009802,            0.009802,            0.009802
                   6,            0.028033,           0.0085916,           0.0085242,             0.35421,             0.16826,            0.072698,            0.020848,            0.035551,           0.0053437,           0.0082785,           0.0097525,           0.0097525,           0.0097525
                   7,            0.026473,           0.0082426,           0.0074264,             0.32681,             0.20751,            0.092019,            0.027267,            0.034185,            0.004969,           0.0075198,            0.009703,            0.009703,            0.009703
                   8,            0.027236,           0.0082933,           0.0079707,            0.086365,             0.18737,              0.1018,            0.030561,            0.034776,            0.005011,           0.0082092,           0.0096535,           0.0096535,           0.0096535
                   9,            0.025463,           0.0079169,            0.007218,             0.10929,             0.19711,             0.10426,            0.031559,             0.03514,           0.0049936,           0.0075524,            0.009604,            0.009604,            0.009604
                  10,            0.026475,            0.008117,           0.0073864,             0.16531,             0.26734,             0.14167,            0.045301,            0.034401,           0.0048516,           0.0065597,           0.0095545,           0.0095545,           0.0095545
