               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.086955,            0.013449,            0.031866,          0.00019963,             0.15826,          0.00046693,          9.6466e-05,             0.07898,           0.0060535,            0.027915,            0.070048,            0.003328,            0.003328
                   1,            0.074877,            0.010781,            0.026189,          0.00072445,             0.30896,           0.0016043,          0.00036578,            0.074828,           0.0060028,            0.024512,            0.040022,            0.006635,            0.006635
                   2,            0.073124,            0.010501,            0.023235,          0.00072334,             0.33516,           0.0061023,           0.0015172,            0.072069,           0.0059834,             0.01995,           0.0099688,           0.0099155,           0.0099155
                   3,            0.070787,           0.0098227,            0.023471,          0.00071884,             0.38833,           0.0078042,           0.0018443,            0.068953,           0.0060078,            0.021711,           0.0098812,           0.0098812,           0.0098812
                   4,            0.069533,           0.0098082,            0.021916,           0.0088472,             0.28123,            0.023913,           0.0058662,            0.067532,           0.0059303,            0.017214,           0.0098812,           0.0098812,           0.0098812
                   5,            0.066737,           0.0092236,            0.021189,             0.77912,            0.043578,            0.022906,           0.0054728,            0.068951,           0.0058476,            0.016562,           0.0098416,           0.0098416,           0.0098416
                   6,            0.065894,           0.0089513,            0.020337,             0.79814,            0.041284,            0.030554,           0.0083793,            0.066894,           0.0055096,            0.016566,            0.009802,            0.009802,            0.009802
                   7,            0.064504,           0.0090447,            0.020058,             0.79169,             0.06422,            0.047315,            0.014411,            0.063278,           0.0055756,            0.015593,           0.0097624,           0.0097624,           0.0097624
                   8,            0.063648,            0.009216,             0.01915,             0.57968,            0.039121,            0.044227,            0.011389,            0.063696,           0.0056983,            0.017501,           0.0097228,           0.0097228,           0.0097228
                   9,            0.063019,            0.009019,            0.018852,             0.79528,            0.048165,            0.037897,           0.0094242,            0.064591,           0.0055306,            0.014441,           0.0096832,           0.0096832,           0.0096832
                  10,            0.061777,           0.0092658,            0.018022,             0.28532,            0.091873,            0.063249,            0.016261,            0.064202,           0.0053568,            0.014744,           0.0096436,           0.0096436,           0.0096436
                  11,            0.062006,           0.0088115,            0.018267,             0.80842,            0.066514,             0.05331,            0.013649,            0.062285,           0.0054329,            0.013538,            0.009604,            0.009604,            0.009604
                  12,            0.060829,           0.0086079,            0.018115,             0.59929,             0.10365,            0.070443,            0.019392,            0.062059,           0.0055653,            0.012688,           0.0095644,           0.0095644,           0.0095644
                  13,            0.062272,           0.0086953,             0.01659,             0.35147,             0.13893,             0.10331,            0.024603,             0.06125,           0.0053108,            0.013118,           0.0095248,           0.0095248,           0.0095248
                  14,            0.058947,           0.0085914,            0.016202,             0.35539,             0.14111,            0.070335,            0.019757,            0.061552,           0.0052066,            0.013518,           0.0094852,           0.0094852,           0.0094852
                  15,            0.058909,           0.0086936,             0.01781,             0.16121,             0.11363,             0.11123,            0.027276,            0.060059,           0.0053019,            0.014712,           0.0094456,           0.0094456,           0.0094456
                  16,            0.058789,           0.0090202,            0.016252,             0.33993,             0.16051,            0.081259,             0.02236,            0.061151,           0.0052225,            0.012617,            0.009406,            0.009406,            0.009406
                  17,            0.057882,           0.0088747,            0.015893,             0.18127,             0.20998,             0.11368,            0.033597,            0.060063,           0.0051716,              0.0137,           0.0093664,           0.0093664,           0.0093664
                  18,            0.059386,           0.0088249,            0.016218,             0.34723,             0.18697,             0.09526,            0.028265,            0.061428,           0.0052936,            0.013086,           0.0093268,           0.0093268,           0.0093268
                  19,            0.057258,           0.0085885,            0.015849,             0.58769,             0.19561,             0.11493,            0.026817,            0.057822,           0.0051774,             0.01197,           0.0092872,           0.0092872,           0.0092872
                  20,            0.056538,           0.0081652,            0.015554,             0.25256,             0.22453,             0.13219,            0.034169,            0.059262,           0.0049549,             0.01179,           0.0092476,           0.0092476,           0.0092476
                  21,            0.056124,           0.0085268,            0.014206,            0.079706,             0.19549,             0.12564,            0.034656,            0.059552,           0.0049441,            0.012159,            0.009208,            0.009208,            0.009208
                  22,            0.055501,           0.0085325,             0.01495,             0.13196,             0.20693,             0.10971,            0.029605,            0.058795,           0.0050722,            0.011446,           0.0091684,           0.0091684,           0.0091684
                  23,            0.056626,           0.0083906,            0.014773,             0.38699,             0.20446,             0.10741,            0.029777,            0.058036,           0.0050866,            0.012744,           0.0091288,           0.0091288,           0.0091288
                  24,             0.05519,           0.0083246,            0.014678,             0.34736,             0.22909,             0.10531,            0.030142,            0.058327,           0.0050915,             0.01267,           0.0090892,           0.0090892,           0.0090892
                  25,            0.055733,           0.0083983,            0.013721,              0.1221,             0.29887,             0.10332,            0.030937,            0.057915,           0.0049813,            0.013135,           0.0090496,           0.0090496,           0.0090496
                  26,            0.055237,           0.0084106,            0.013955,             0.19472,             0.25583,             0.13992,            0.041676,            0.056867,           0.0051382,            0.012184,             0.00901,             0.00901,             0.00901
                  27,            0.056125,           0.0087967,            0.014952,             0.38696,             0.15839,              0.1261,             0.04066,            0.060578,           0.0049939,             0.01373,           0.0089704,           0.0089704,           0.0089704
                  28,            0.055945,           0.0083406,            0.014739,             0.39563,             0.15934,             0.15111,            0.043756,            0.059197,           0.0050139,            0.011622,           0.0089308,           0.0089308,           0.0089308
                  29,            0.055444,           0.0082811,            0.013514,             0.34441,             0.19738,             0.14378,            0.042148,            0.057914,           0.0050073,            0.011366,           0.0088912,           0.0088912,           0.0088912
                  30,            0.053945,           0.0079039,            0.012688,             0.61522,             0.15839,             0.13146,            0.031346,            0.058879,           0.0052333,            0.013101,           0.0088516,           0.0088516,           0.0088516
                  31,            0.054081,           0.0080133,            0.013099,             0.38455,             0.19647,             0.14102,            0.042922,            0.057768,           0.0048631,            0.012465,            0.008812,            0.008812,            0.008812
                  32,            0.055681,           0.0083515,            0.014359,             0.36756,             0.17215,             0.15653,            0.042568,              0.0579,            0.005016,            0.011151,           0.0087724,           0.0087724,           0.0087724
                  33,             0.05503,           0.0082977,            0.014005,             0.63783,             0.17226,             0.13508,            0.042144,            0.058139,           0.0049037,            0.010807,           0.0087328,           0.0087328,           0.0087328
                  34,            0.053434,           0.0083781,            0.013653,               0.177,             0.20381,             0.12472,            0.039668,            0.058916,           0.0050759,             0.01239,           0.0086932,           0.0086932,           0.0086932
                  35,            0.055299,           0.0083803,            0.013249,             0.14886,             0.28273,             0.14852,            0.046595,            0.057066,           0.0049985,            0.010477,           0.0086536,           0.0086536,           0.0086536
                  36,            0.054058,           0.0081954,            0.013597,             0.17378,             0.23801,             0.15691,            0.053634,            0.057473,           0.0048439,            0.012607,            0.008614,            0.008614,            0.008614
                  37,            0.052778,            0.008227,            0.012385,             0.27497,             0.25896,             0.18004,            0.052783,            0.056302,            0.005014,            0.011538,           0.0085744,           0.0085744,           0.0085744
                  38,            0.053579,           0.0086216,            0.013374,              0.2243,             0.24414,             0.17361,             0.04984,            0.056347,           0.0050475,            0.010992,           0.0085348,           0.0085348,           0.0085348
                  39,            0.054147,           0.0083268,            0.012976,             0.19345,             0.23886,             0.16458,            0.053702,            0.056813,           0.0049926,            0.011454,           0.0084952,           0.0084952,           0.0084952
                  40,            0.053741,           0.0084648,            0.012826,             0.17306,             0.30033,             0.16507,            0.045706,            0.057604,           0.0048919,            0.010919,           0.0084556,           0.0084556,           0.0084556
                  41,            0.053319,           0.0082294,            0.012261,             0.66373,             0.16527,             0.17349,            0.051659,            0.056509,           0.0049821,            0.012565,            0.008416,            0.008416,            0.008416
                  42,             0.05268,           0.0080336,            0.011967,             0.35304,             0.21171,             0.16499,            0.049146,            0.056435,           0.0048689,            0.010667,           0.0083764,           0.0083764,           0.0083764
                  43,            0.053911,           0.0085745,              0.0129,             0.40262,             0.17998,             0.14604,            0.046283,             0.05728,           0.0051772,            0.011891,           0.0083368,           0.0083368,           0.0083368
                  44,            0.052382,            0.008103,             0.01274,             0.15495,             0.17445,             0.14901,            0.046712,            0.056453,           0.0048923,            0.011974,           0.0082972,           0.0082972,           0.0082972
                  45,            0.052027,           0.0084063,            0.012756,             0.68324,             0.16392,             0.18956,            0.052738,            0.058515,            0.004875,            0.011191,           0.0082576,           0.0082576,           0.0082576
                  46,            0.051153,           0.0084853,            0.012777,             0.17445,             0.25737,             0.18488,             0.05484,            0.057785,           0.0049377,            0.013218,            0.008218,            0.008218,            0.008218
                  47,            0.051894,           0.0083534,            0.012352,              0.3583,             0.22344,             0.16782,            0.050658,            0.057407,           0.0047689,            0.011776,           0.0081784,           0.0081784,           0.0081784
                  48,             0.05267,            0.008282,            0.012321,             0.28061,             0.20847,             0.18888,            0.049411,            0.056162,           0.0048829,            0.011319,           0.0081388,           0.0081388,           0.0081388
                  49,            0.052197,           0.0084307,            0.012186,             0.27767,             0.29362,              0.1863,            0.061332,              0.0553,           0.0048427,            0.011578,           0.0080992,           0.0080992,           0.0080992
                  50,              0.0507,           0.0079881,            0.011868,             0.15989,             0.28851,             0.19242,            0.066358,            0.056743,           0.0047715,            0.011847,           0.0080596,           0.0080596,           0.0080596
                  51,            0.050683,            0.008091,            0.011856,             0.24982,             0.31877,             0.21719,            0.069932,            0.056671,           0.0049339,            0.013438,             0.00802,             0.00802,             0.00802
                  52,            0.052223,            0.007978,            0.012347,              0.2191,             0.26916,             0.17511,            0.053322,            0.058131,            0.005016,            0.012482,           0.0079804,           0.0079804,           0.0079804
                  53,            0.051391,           0.0080247,             0.01086,             0.42159,             0.23059,              0.1865,            0.059413,            0.055766,           0.0049388,            0.011567,           0.0079408,           0.0079408,           0.0079408
                  54,             0.05236,           0.0083445,            0.011498,             0.39811,             0.23863,             0.15518,             0.04681,            0.056521,           0.0049414,            0.011637,           0.0079012,           0.0079012,           0.0079012
                  55,            0.053298,           0.0084869,            0.011927,             0.73075,             0.15246,             0.18368,            0.061279,            0.056491,           0.0049071,            0.011148,           0.0078616,           0.0078616,           0.0078616
                  56,             0.05171,           0.0082382,            0.011264,             0.17248,             0.24005,             0.18074,            0.058214,            0.056978,           0.0048438,            0.010796,            0.007822,            0.007822,            0.007822
                  57,            0.051445,           0.0082068,            0.011282,             0.23932,             0.28367,             0.21037,            0.072083,            0.057178,           0.0047909,            0.011639,           0.0077824,           0.0077824,           0.0077824
                  58,            0.051484,           0.0082331,            0.010094,             0.45729,             0.18551,             0.18931,            0.058754,             0.05852,           0.0048438,            0.012788,           0.0077428,           0.0077428,           0.0077428
                  59,            0.050279,           0.0079606,            0.010909,             0.18553,             0.26246,             0.16876,            0.056556,            0.057492,           0.0047847,            0.011882,           0.0077032,           0.0077032,           0.0077032
                  60,            0.050356,           0.0080305,            0.010607,             0.48702,             0.17175,             0.19701,            0.059621,            0.057501,           0.0048309,            0.012842,           0.0076636,           0.0076636,           0.0076636
                  61,            0.051503,           0.0084408,            0.010225,              0.4579,             0.19927,             0.18328,            0.064222,            0.055399,            0.004785,             0.01112,            0.007624,            0.007624,            0.007624
                  62,            0.052142,            0.008265,            0.011934,             0.19832,             0.28374,              0.1888,            0.056633,            0.057098,           0.0047345,            0.013425,           0.0075844,           0.0075844,           0.0075844
                  63,            0.051366,           0.0080776,            0.011084,             0.29212,             0.33082,             0.21494,            0.063541,            0.055596,           0.0047041,            0.012561,           0.0075448,           0.0075448,           0.0075448
                  64,            0.049615,           0.0081983,             0.01055,             0.21491,             0.31163,             0.18328,            0.058825,            0.056521,            0.004945,             0.01144,           0.0075052,           0.0075052,           0.0075052
                  65,            0.048506,           0.0081872,           0.0095722,             0.18712,             0.26292,             0.16263,              0.0567,            0.058147,           0.0049865,            0.012915,           0.0074656,           0.0074656,           0.0074656
                  66,            0.049731,           0.0082584,            0.010665,             0.14036,              0.2554,             0.16945,            0.053059,            0.056997,           0.0050079,             0.01374,            0.007426,            0.007426,            0.007426
                  67,            0.049155,            0.008081,            0.010386,             0.46714,             0.24529,             0.18934,            0.058292,            0.055796,            0.004867,            0.010549,           0.0073864,           0.0073864,           0.0073864
