               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.085408,            0.016269,            0.034832,                   0,                   0,                   0,                   0,             0.12005,            0.009861,            0.072687,            0.070048,            0.003328,            0.003328
                   1,            0.082076,            0.012323,            0.029369,          9.7153e-05,            0.034404,          5.5347e-05,          1.2064e-05,            0.091031,           0.0049606,            0.040078,            0.040022,            0.006635,            0.006635
                   2,            0.081217,            0.011236,            0.027784,          0.00010786,             0.09633,          0.00012408,          3.3051e-05,            0.080981,           0.0057103,            0.028147,           0.0099688,           0.0099155,           0.0099155
                   3,            0.079171,            0.010266,            0.028131,          0.00019425,             0.16055,          0.00064197,           0.0001438,            0.079379,           0.0055604,            0.027992,           0.0098812,           0.0098812,           0.0098812
                   4,            0.077937,             0.01051,            0.027714,          0.00050839,             0.23867,           0.0011292,          0.00025672,            0.079132,           0.0055688,             0.02692,           0.0098812,           0.0098812,           0.0098812
                   5,            0.076363,           0.0098111,            0.026673,          0.00040905,             0.21195,          0.00084056,          0.00018509,            0.077622,           0.0057292,            0.025759,           0.0098416,           0.0098416,           0.0098416
                   6,            0.073797,           0.0097492,            0.025369,          0.00036421,             0.12844,            0.000594,          0.00013546,            0.077725,           0.0058891,            0.026044,            0.009802,            0.009802,            0.009802
                   7,            0.074199,           0.0098307,            0.025183,           0.0012906,             0.30399,           0.0038249,          0.00078715,            0.078651,           0.0057147,            0.024162,           0.0097624,           0.0097624,           0.0097624
                   8,            0.074344,            0.010142,            0.025249,           0.0012141,              0.2584,           0.0017607,          0.00044509,            0.076847,           0.0058145,             0.02327,           0.0097228,           0.0097228,           0.0097228
                   9,             0.07421,            0.009921,            0.025396,           0.0008768,             0.36497,           0.0031485,          0.00058899,            0.076087,           0.0056224,            0.023636,           0.0096832,           0.0096832,           0.0096832
                  10,            0.072958,             0.01015,            0.024791,           0.0011763,             0.26404,           0.0034346,           0.0010907,            0.074873,           0.0057522,            0.022515,           0.0096436,           0.0096436,           0.0096436
                  11,            0.072514,           0.0096654,            0.024045,           0.0011804,             0.28675,           0.0039484,           0.0010372,            0.075792,            0.005936,            0.021912,            0.009604,            0.009604,            0.009604
                  12,            0.071265,            0.009585,            0.024022,           0.0012098,             0.50052,            0.015322,           0.0023744,            0.074904,           0.0056563,            0.021817,           0.0095644,           0.0095644,           0.0095644
                  13,            0.073313,           0.0096437,            0.023133,            0.001211,             0.56588,           0.0068142,           0.0014684,            0.073464,           0.0059279,            0.020943,           0.0095248,           0.0095248,           0.0095248
                  14,            0.070687,            0.009629,            0.022099,           0.0011554,             0.46957,           0.0065394,            0.001015,            0.073011,           0.0058167,            0.019891,           0.0094852,           0.0094852,           0.0094852
                  15,            0.070637,           0.0096506,            0.023317,           0.0012081,             0.43763,           0.0091022,           0.0021241,            0.072995,           0.0056478,            0.020514,           0.0094456,           0.0094456,           0.0094456
                  16,            0.070654,            0.010061,            0.022718,           0.0016729,             0.57942,           0.0092199,           0.0019207,            0.072523,           0.0056813,             0.01966,            0.009406,            0.009406,            0.009406
                  17,            0.069387,           0.0097858,            0.022096,            0.001234,             0.51101,           0.0085096,           0.0018622,            0.072686,           0.0056211,            0.019493,           0.0093664,           0.0093664,           0.0093664
                  18,            0.070892,           0.0097159,            0.021679,           0.0014428,             0.64087,            0.014103,            0.002632,            0.071963,           0.0056826,            0.019056,           0.0093268,           0.0093268,           0.0093268
                  19,            0.069462,           0.0096872,            0.021556,            0.001256,             0.55334,            0.013378,           0.0048948,            0.071517,           0.0058357,            0.019209,           0.0092872,           0.0092872,           0.0092872
                  20,            0.067855,           0.0092111,            0.021272,           0.0064033,              0.4028,            0.029663,           0.0074984,            0.070642,           0.0057041,            0.017967,           0.0092476,           0.0092476,           0.0092476
                  21,            0.067499,            0.009682,            0.019584,           0.0070497,             0.30596,            0.012151,           0.0029937,            0.072385,           0.0056801,              0.0191,            0.009208,            0.009208,            0.009208
                  22,            0.067238,           0.0096883,            0.020802,           0.0019297,             0.66926,            0.024184,           0.0056472,            0.068907,           0.0058215,            0.017778,           0.0091684,           0.0091684,           0.0091684
                  23,            0.067143,           0.0094054,            0.020007,             0.28032,             0.14176,            0.014761,           0.0040715,            0.069421,           0.0059601,            0.016952,           0.0091288,           0.0091288,           0.0091288
                  24,            0.065963,           0.0096073,            0.019958,           0.0016407,             0.70742,            0.019755,           0.0038522,            0.071954,           0.0057323,            0.018917,           0.0090892,           0.0090892,           0.0090892
                  25,            0.067133,           0.0096286,            0.019256,            0.020466,              0.1113,            0.014223,           0.0038581,            0.067578,           0.0059467,            0.017378,           0.0090496,           0.0090496,           0.0090496
                  26,            0.066054,           0.0095565,            0.019219,            0.038751,             0.23143,            0.031477,           0.0059636,            0.067649,            0.005752,            0.017008,             0.00901,             0.00901,             0.00901
                  27,            0.065684,           0.0098933,            0.019635,            0.030637,             0.21455,            0.038127,           0.0071759,            0.065877,           0.0058847,            0.016938,           0.0089704,           0.0089704,           0.0089704
                  28,            0.065438,           0.0094069,             0.01958,             0.55475,            0.070235,            0.030277,           0.0064886,            0.068718,            0.005609,            0.017662,           0.0089308,           0.0089308,           0.0089308
                  29,            0.065451,           0.0093558,            0.018815,             0.28413,            0.058734,            0.019479,           0.0043631,            0.066669,           0.0059173,            0.015901,           0.0088912,           0.0088912,           0.0088912
                  30,            0.062847,           0.0089003,            0.017699,            0.030474,            0.069752,            0.025753,           0.0070692,            0.065659,           0.0058688,            0.017187,           0.0088516,           0.0088516,           0.0088516
                  31,            0.062818,           0.0089648,            0.017939,            0.036905,            0.090228,             0.02247,           0.0051357,            0.066276,           0.0057697,            0.015834,            0.008812,            0.008812,            0.008812
                  32,            0.064647,           0.0093625,            0.018756,            0.029345,            0.057469,            0.034295,           0.0089632,            0.064841,           0.0057396,            0.015414,           0.0087724,           0.0087724,           0.0087724
                  33,            0.063887,            0.009236,            0.018394,             0.53379,             0.11316,            0.044234,            0.010168,            0.064913,           0.0058116,            0.015309,           0.0087328,           0.0087328,           0.0087328
                  34,            0.061798,           0.0095096,            0.017922,             0.26843,            0.077982,            0.031924,           0.0082247,            0.065453,           0.0060746,            0.015693,           0.0086932,           0.0086932,           0.0086932
                  35,            0.064013,           0.0092625,            0.017941,             0.36247,            0.076385,            0.062177,            0.016008,            0.063967,           0.0055995,            0.015976,           0.0086536,           0.0086536,           0.0086536
                  36,            0.061954,           0.0090764,            0.017694,             0.26366,            0.091338,            0.065442,            0.019585,            0.062657,           0.0057982,             0.01466,            0.008614,            0.008614,            0.008614
                  37,            0.060771,           0.0092922,            0.016756,             0.36972,             0.13491,            0.077053,             0.02222,            0.062513,           0.0056844,            0.014029,           0.0085744,           0.0085744,           0.0085744
                  38,            0.061989,           0.0093973,            0.018256,             0.30016,             0.10425,            0.040341,            0.010396,            0.065674,           0.0057726,            0.014465,           0.0085348,           0.0085348,           0.0085348
                  39,            0.062042,           0.0092213,            0.017507,             0.10022,             0.11683,            0.052402,            0.013755,            0.063225,           0.0056688,            0.015311,           0.0084952,           0.0084952,           0.0084952
                  40,            0.060897,           0.0094052,            0.016719,            0.092023,            0.097794,            0.054048,            0.015951,            0.063525,           0.0055559,            0.013572,           0.0084556,           0.0084556,           0.0084556
                  41,            0.060595,           0.0091289,            0.016667,             0.13125,             0.15694,            0.061753,            0.015374,            0.064447,           0.0054184,            0.014367,            0.008416,            0.008416,            0.008416
                  42,                0.06,           0.0089431,            0.016258,                0.08,             0.13288,            0.057943,             0.01547,            0.060569,           0.0055981,            0.015271,           0.0083764,           0.0083764,           0.0083764
                  43,            0.061179,           0.0095101,             0.01749,             0.34385,             0.16571,             0.08078,            0.017737,            0.062803,            0.005504,            0.014628,           0.0083368,           0.0083368,           0.0083368
                  44,            0.060103,           0.0089871,            0.017296,            0.080178,             0.19513,            0.054039,             0.01381,            0.061858,           0.0056896,            0.013366,           0.0082972,           0.0082972,           0.0082972
                  45,            0.060113,           0.0092405,            0.016851,            0.074614,             0.13464,            0.056369,            0.012824,            0.062656,           0.0055292,            0.014339,           0.0082576,           0.0082576,           0.0082576
                  46,            0.058994,           0.0093866,            0.017269,            0.075379,             0.12669,            0.062427,            0.015551,            0.062538,           0.0053723,            0.013816,            0.008218,            0.008218,            0.008218
                  47,            0.059215,           0.0092637,            0.016758,             0.10857,             0.11189,             0.08834,            0.017942,            0.061637,           0.0055277,            0.013235,           0.0081784,           0.0081784,           0.0081784
                  48,            0.061103,           0.0092058,            0.016531,            0.055196,             0.11601,            0.048174,             0.01251,            0.062621,           0.0054034,            0.013337,           0.0081388,           0.0081388,           0.0081388
                  49,            0.059402,           0.0092418,             0.01684,            0.069148,             0.16714,            0.077034,            0.021262,            0.060575,            0.005554,            0.012534,           0.0080992,           0.0080992,           0.0080992
                  50,            0.058298,           0.0090441,            0.015844,             0.12559,             0.18176,            0.060106,            0.017387,            0.062384,           0.0055173,            0.014059,           0.0080596,           0.0080596,           0.0080596
                  51,            0.058138,            0.008926,             0.01577,            0.076161,              0.2345,             0.06692,            0.018421,            0.062222,           0.0053592,            0.012368,             0.00802,             0.00802,             0.00802
                  52,            0.059098,           0.0089284,            0.016346,              0.1012,             0.11227,            0.046566,            0.012987,            0.062405,            0.005379,            0.013698,           0.0079804,           0.0079804,           0.0079804
                  53,            0.058359,            0.008829,            0.014656,            0.083547,             0.12389,            0.073496,            0.020953,            0.061273,           0.0053963,            0.012819,           0.0079408,           0.0079408,           0.0079408
                  54,            0.059293,           0.0092353,            0.015646,             0.05957,             0.16095,            0.064713,            0.018634,            0.061929,           0.0053922,            0.013932,           0.0079012,           0.0079012,           0.0079012
                  55,            0.060045,           0.0093475,            0.016203,             0.32466,             0.13843,            0.079654,            0.023422,            0.060063,           0.0053458,            0.011917,           0.0078616,           0.0078616,           0.0078616
                  56,            0.057842,           0.0090153,            0.015274,             0.13619,             0.22439,             0.10566,            0.029628,            0.060295,           0.0053337,            0.013938,            0.007822,            0.007822,            0.007822
                  57,             0.05866,           0.0089622,            0.015396,             0.36905,             0.15279,            0.077164,            0.022354,            0.061026,           0.0053009,            0.012848,           0.0077824,           0.0077824,           0.0077824
                  58,            0.058677,           0.0091057,            0.015311,            0.087468,             0.20652,            0.079233,            0.021674,            0.061514,           0.0053359,            0.012463,           0.0077428,           0.0077428,           0.0077428
                  59,            0.057466,           0.0086921,            0.015047,             0.11347,             0.18656,             0.10704,            0.030293,            0.061356,           0.0052562,             0.01354,           0.0077032,           0.0077032,           0.0077032
                  60,            0.057148,           0.0087512,            0.015187,            0.091832,             0.19401,            0.071608,             0.01958,            0.059713,           0.0054662,            0.013322,           0.0076636,           0.0076636,           0.0076636
                  61,            0.058615,           0.0092589,            0.014866,             0.13295,             0.21142,             0.10239,            0.029044,            0.059604,           0.0053409,            0.012611,            0.007624,            0.007624,            0.007624
                  62,            0.058418,           0.0090175,            0.015868,             0.07648,             0.18166,            0.076359,            0.023063,            0.060625,           0.0053061,            0.012407,           0.0075844,           0.0075844,           0.0075844
                  63,            0.058606,           0.0088329,             0.01534,             0.38274,             0.18184,             0.10368,            0.029158,            0.060446,           0.0052645,            0.012766,           0.0075448,           0.0075448,           0.0075448
                  64,            0.056169,           0.0089823,            0.014525,             0.36946,             0.15552,            0.088436,             0.02585,            0.059672,           0.0053585,            0.012927,           0.0075052,           0.0075052,           0.0075052
                  65,            0.055516,           0.0090308,             0.01335,             0.12778,             0.22393,             0.10354,            0.032811,            0.060663,           0.0054308,            0.011335,           0.0074656,           0.0074656,           0.0074656
                  66,            0.057066,           0.0091213,            0.014987,            0.092619,             0.19979,            0.098261,            0.027543,            0.059503,           0.0052988,            0.013887,            0.007426,            0.007426,            0.007426
                  67,            0.056303,           0.0089232,            0.014757,             0.12314,              0.1325,            0.079563,            0.021267,            0.060076,            0.005203,            0.013569,           0.0073864,           0.0073864,           0.0073864
                  68,            0.057905,           0.0091687,             0.01517,             0.10739,             0.26142,            0.096089,            0.026096,            0.058885,           0.0053948,            0.011648,           0.0073468,           0.0073468,           0.0073468
                  69,            0.056194,            0.008961,            0.014332,             0.11868,             0.20678,            0.079672,            0.020684,            0.059631,           0.0052012,            0.011413,           0.0073072,           0.0073072,           0.0073072
                  70,            0.056634,           0.0083133,             0.01399,             0.10761,             0.25431,            0.085005,            0.024017,            0.060762,            0.005175,            0.013939,           0.0072676,           0.0072676,           0.0072676
                  71,             0.05607,           0.0083628,             0.01498,             0.12209,             0.16298,            0.097636,             0.02432,            0.061054,           0.0051034,            0.013097,            0.007228,            0.007228,            0.007228
                  72,             0.05688,           0.0093896,            0.014062,             0.10168,             0.20419,            0.096225,            0.027727,            0.058528,           0.0052076,            0.011961,           0.0071884,           0.0071884,           0.0071884
                  73,            0.056279,           0.0090832,            0.014721,             0.42553,             0.15373,            0.094122,            0.026409,            0.060071,           0.0052922,            0.011113,           0.0071488,           0.0071488,           0.0071488
                  74,            0.056425,           0.0090347,            0.013547,             0.35265,             0.15475,             0.11844,              0.0317,             0.05875,           0.0052125,            0.011343,           0.0071092,           0.0071092,           0.0071092
                  75,             0.05552,           0.0084861,            0.013955,             0.10413,             0.17394,            0.096931,            0.028619,            0.058189,           0.0052564,            0.011203,           0.0070696,           0.0070696,           0.0070696
                  76,            0.055461,           0.0084506,            0.013343,             0.14079,              0.2393,              0.1065,            0.033346,            0.059186,           0.0051493,            0.011207,             0.00703,             0.00703,             0.00703
                  77,            0.056047,           0.0084981,            0.014096,             0.10766,             0.19835,            0.091957,            0.026057,            0.058159,           0.0050995,            0.011505,           0.0069904,           0.0069904,           0.0069904
                  78,            0.055163,           0.0086031,            0.012519,             0.16121,             0.18756,             0.12519,            0.031836,            0.059513,            0.005186,             0.01248,           0.0069508,           0.0069508,           0.0069508
                  79,            0.054379,           0.0085845,            0.012473,             0.37099,             0.19512,             0.12142,            0.030591,            0.058656,           0.0053802,            0.011055,           0.0069112,           0.0069112,           0.0069112
                  80,            0.056255,           0.0090848,            0.013838,             0.16217,             0.21342,             0.11025,            0.029719,            0.059893,           0.0053246,            0.012931,           0.0068716,           0.0068716,           0.0068716
                  81,             0.05527,           0.0088062,            0.013483,             0.14928,             0.20667,             0.11901,            0.037721,            0.058923,           0.0052116,            0.011425,            0.006832,            0.006832,            0.006832
