               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.084863,            0.014366,            0.032442,          0.00024183,             0.16055,          0.00098466,          0.00022203,            0.079569,           0.0057927,            0.026899,            0.070048,            0.003328,            0.003328
                   1,            0.073856,            0.010702,            0.025104,          0.00070468,              0.3456,            0.002365,          0.00048885,            0.074405,           0.0057971,              0.0215,            0.040031,           0.0066449,           0.0066449
                   2,            0.070948,            0.010232,            0.021975,           0.0011899,             0.49252,            0.013361,           0.0033077,            0.073731,           0.0056638,            0.018182,           0.0099984,           0.0099452,           0.0099452
                   3,            0.068826,           0.0094832,            0.021699,             0.76706,            0.027523,            0.012281,           0.0036946,            0.068796,           0.0056832,            0.016918,           0.0099258,           0.0099258,           0.0099258
                   4,             0.06724,           0.0096544,            0.020141,             0.77088,            0.041284,            0.017822,           0.0045399,            0.071531,           0.0058334,            0.018526,           0.0099258,           0.0099258,           0.0099258
                   5,            0.065406,           0.0091131,            0.020005,             0.79666,            0.043578,            0.036438,           0.0083086,            0.066233,           0.0055443,            0.014149,            0.009901,            0.009901,            0.009901
                   6,            0.063437,           0.0089218,            0.018662,             0.77156,             0.10092,            0.029054,           0.0064698,            0.066149,           0.0055964,              0.0178,           0.0098763,           0.0098763,           0.0098763
                   7,            0.063125,           0.0088662,            0.018767,             0.79342,            0.052752,            0.036027,            0.010292,            0.064611,           0.0053676,            0.015605,           0.0098515,           0.0098515,           0.0098515
                   8,            0.061639,           0.0091745,            0.017827,             0.78145,             0.06422,            0.039375,             0.01079,            0.063966,           0.0054846,            0.014931,           0.0098268,           0.0098268,           0.0098268
                   9,            0.061532,           0.0090282,            0.017584,              0.7771,             0.11238,            0.057973,            0.015348,            0.062633,           0.0053508,            0.012592,            0.009802,            0.009802,            0.009802
                  10,            0.060377,           0.0092526,            0.016508,              0.5883,             0.10186,            0.055842,            0.015903,            0.063041,           0.0053217,            0.013979,           0.0097773,           0.0097773,           0.0097773
                  11,            0.059922,           0.0088371,            0.016813,             0.39415,             0.15785,             0.10518,            0.028612,            0.060939,           0.0052942,            0.014264,           0.0097525,           0.0097525,           0.0097525
                  12,            0.059263,           0.0086256,            0.017435,             0.52779,             0.11697,            0.069292,            0.020465,            0.060378,           0.0053606,            0.013478,           0.0097278,           0.0097278,           0.0097278
                  13,            0.060465,           0.0086809,            0.016001,             0.59423,             0.14638,            0.094183,            0.026393,             0.06082,           0.0050696,            0.013145,            0.009703,            0.009703,            0.009703
                  14,            0.057558,             0.00849,            0.015111,             0.35257,             0.19553,             0.10338,            0.031807,            0.058886,           0.0051302,            0.012852,           0.0096783,           0.0096783,           0.0096783
                  15,            0.057247,           0.0087043,            0.017179,             0.10291,               0.201,             0.12831,            0.046085,            0.058841,            0.005017,            0.013071,           0.0096535,           0.0096535,           0.0096535
                  16,            0.056738,           0.0090227,            0.014769,             0.63992,             0.19509,             0.11241,             0.03305,             0.05831,           0.0049886,            0.012557,           0.0096288,           0.0096288,           0.0096288
                  17,            0.056215,           0.0088395,            0.015205,             0.34975,             0.16392,             0.11397,            0.033913,             0.05912,           0.0052029,            0.012502,            0.009604,            0.009604,            0.009604
                  18,             0.05739,           0.0087207,            0.014657,             0.60587,             0.17674,             0.11123,            0.032452,            0.057851,           0.0049446,            0.012217,           0.0095793,           0.0095793,           0.0095793
                  19,            0.055608,           0.0084747,            0.014678,             0.37951,             0.24183,             0.13888,            0.040656,             0.05807,           0.0050721,            0.010636,           0.0095545,           0.0095545,           0.0095545
                  20,            0.054906,           0.0080658,             0.01424,             0.58678,              0.1225,            0.090338,            0.027014,            0.058955,            0.005124,            0.011449,           0.0095298,           0.0095298,           0.0095298
                  21,            0.055338,           0.0085447,            0.013216,             0.61514,             0.21965,             0.11338,            0.031879,             0.05812,           0.0051219,            0.011015,            0.009505,            0.009505,            0.009505
                  22,            0.054169,           0.0085309,            0.013883,             0.60132,              0.1735,             0.11762,             0.03603,            0.058207,           0.0050368,            0.010734,           0.0094803,           0.0094803,           0.0094803
                  23,            0.055374,           0.0083087,            0.013419,             0.34264,             0.19968,             0.11146,            0.031483,            0.057756,           0.0050583,            0.010681,           0.0094555,           0.0094555,           0.0094555
                  24,            0.053667,           0.0083046,            0.012882,             0.37787,             0.15974,             0.13085,            0.036922,            0.059164,           0.0049508,            0.011896,           0.0094307,           0.0094307,           0.0094307
                  25,            0.054495,           0.0082944,            0.012718,             0.36243,              0.1803,             0.12807,            0.034703,            0.057276,           0.0050195,            0.012804,            0.009406,            0.009406,            0.009406
                  26,            0.054354,           0.0083473,            0.013085,             0.62621,             0.13451,             0.11873,            0.034599,            0.055964,           0.0051801,            0.011718,           0.0093813,           0.0093813,           0.0093813
                  27,            0.054562,           0.0087763,            0.013264,             0.71286,             0.16205,             0.16402,            0.047707,            0.057857,           0.0049536,            0.012675,           0.0093565,           0.0093565,           0.0093565
                  28,            0.054399,           0.0082927,            0.013547,             0.46315,             0.21212,             0.17639,            0.056946,            0.057568,           0.0049741,             0.01146,           0.0093317,           0.0093317,           0.0093317
                  29,            0.053816,           0.0082469,            0.012022,             0.16065,             0.26908,             0.15133,            0.042716,            0.055325,           0.0049556,            0.011344,            0.009307,            0.009307,            0.009307
                  30,            0.051431,           0.0077969,            0.011312,             0.60876,             0.15745,             0.11375,             0.03079,            0.056911,           0.0054492,            0.011908,           0.0092823,           0.0092823,           0.0092823
                  31,            0.052026,           0.0079819,            0.012317,             0.43176,             0.19283,             0.16334,            0.052511,            0.055033,           0.0050507,            0.011379,           0.0092575,           0.0092575,           0.0092575
                  32,            0.053117,           0.0083158,            0.012943,             0.37242,             0.21711,             0.12151,            0.036867,            0.055935,           0.0049755,            0.011173,           0.0092327,           0.0092327,           0.0092327
                  33,            0.053436,           0.0081811,            0.012212,              0.6719,             0.11751,             0.14006,            0.042545,            0.056012,           0.0050562,            0.010814,            0.009208,            0.009208,            0.009208
                  34,            0.051404,           0.0083138,            0.012311,             0.62804,              0.1901,             0.14556,            0.045301,            0.057359,           0.0049415,            0.011773,           0.0091833,           0.0091833,           0.0091833
                  35,            0.053039,           0.0082855,            0.012029,               0.179,             0.28957,             0.17414,             0.05437,            0.056852,           0.0049549,            0.010717,           0.0091585,           0.0091585,           0.0091585
                  36,            0.052222,           0.0080871,            0.012669,             0.42732,              0.1635,             0.15616,            0.046911,            0.056369,           0.0050068,            0.011852,           0.0091337,           0.0091337,           0.0091337
                  37,            0.050786,           0.0081646,             0.01114,             0.65321,             0.18819,             0.15319,            0.046129,              0.0566,           0.0051521,            0.012255,            0.009109,            0.009109,            0.009109
                  38,            0.051885,           0.0084154,            0.012068,             0.20899,             0.26754,             0.18226,            0.053541,            0.056505,           0.0049397,            0.010887,           0.0090843,           0.0090843,           0.0090843
                  39,            0.051911,           0.0081977,            0.011025,             0.68441,             0.16494,               0.178,            0.052928,             0.05534,           0.0048685,            0.011618,           0.0090595,           0.0090595,           0.0090595
                  40,            0.050868,           0.0083961,             0.01101,              0.4566,             0.22892,             0.19244,            0.064772,            0.056074,           0.0050014,            0.011231,           0.0090347,           0.0090347,           0.0090347
                  41,            0.051306,           0.0081286,            0.011032,              0.3566,              0.2414,             0.17298,            0.052737,            0.055253,           0.0050029,            0.010134,             0.00901,             0.00901,             0.00901
                  42,             0.05051,           0.0079435,            0.010444,             0.42356,              0.1578,             0.17365,            0.051957,            0.055713,           0.0049757,            0.012676,           0.0089853,           0.0089853,           0.0089853
                  43,            0.051677,             0.00854,            0.011619,             0.66433,             0.20965,             0.19313,            0.062088,            0.056441,            0.005093,            0.011891,           0.0089605,           0.0089605,           0.0089605
                  44,            0.050143,           0.0079239,            0.010959,             0.47523,             0.16487,             0.17779,            0.054029,            0.055652,           0.0049724,           0.0097986,           0.0089358,           0.0089358,           0.0089358
                  45,            0.050274,           0.0082456,            0.011239,             0.43994,             0.22356,             0.17788,            0.054514,            0.056654,           0.0048128,            0.011181,            0.008911,            0.008911,            0.008911
                  46,            0.049281,           0.0082654,            0.011195,             0.18162,              0.2855,             0.16498,            0.050134,            0.055863,           0.0050684,             0.01092,           0.0088863,           0.0088863,           0.0088863
                  47,            0.049923,           0.0081828,            0.010635,             0.13454,             0.26661,              0.1691,            0.049667,            0.056913,           0.0049029,            0.010554,           0.0088615,           0.0088615,           0.0088615
                  48,            0.050276,           0.0081971,            0.010684,             0.70165,              0.1759,              0.1944,             0.05149,            0.056903,           0.0049146,            0.010347,           0.0088368,           0.0088368,           0.0088368
                  49,            0.050076,           0.0083512,            0.010653,              0.6707,             0.19563,             0.16752,            0.052417,            0.056434,           0.0050012,           0.0099356,            0.008812,            0.008812,            0.008812
                  50,            0.048736,            0.007889,            0.010076,             0.41471,             0.22562,             0.14491,            0.044891,            0.057253,           0.0049702,            0.014474,           0.0087872,           0.0087872,           0.0087872
                  51,            0.049337,           0.0079622,            0.010196,            0.099417,             0.23411,             0.13664,            0.042464,            0.056748,           0.0049449,            0.011934,           0.0087625,           0.0087625,           0.0087625
                  52,            0.050031,           0.0079209,            0.010966,             0.71135,             0.18227,             0.19052,            0.057205,            0.057892,           0.0048842,            0.013009,           0.0087378,           0.0087378,           0.0087378
                  53,            0.048841,           0.0078392,           0.0092296,             0.41728,             0.18274,             0.17979,            0.054406,            0.057187,           0.0047559,            0.011839,            0.008713,            0.008713,            0.008713
                  54,            0.049933,           0.0082184,           0.0097451,             0.40721,             0.23317,              0.1795,            0.054033,            0.055795,            0.004829,            0.012782,           0.0086882,           0.0086882,           0.0086882
                  55,            0.050887,           0.0082867,            0.010047,             0.19025,             0.24266,             0.15925,            0.058531,            0.055427,           0.0048405,           0.0096228,           0.0086635,           0.0086635,           0.0086635
                  56,            0.049474,           0.0080407,           0.0093232,              0.4356,             0.23531,             0.18179,            0.063347,            0.056464,           0.0049007,            0.011782,           0.0086388,           0.0086388,           0.0086388
                  57,            0.049427,           0.0079942,           0.0098408,             0.17114,             0.25991,             0.14913,            0.044655,            0.057989,           0.0048769,            0.012392,            0.008614,            0.008614,            0.008614
                  58,            0.049388,            0.008105,           0.0090203,             0.13092,             0.34668,             0.15861,            0.054882,            0.057312,           0.0050103,            0.011819,           0.0085893,           0.0085893,           0.0085893
                  59,            0.048298,           0.0077624,           0.0091975,             0.15279,             0.29687,             0.15076,            0.049428,            0.057609,           0.0049322,            0.013361,           0.0085645,           0.0085645,           0.0085645
                  60,            0.047812,           0.0079135,           0.0092532,             0.41045,             0.22214,             0.16247,            0.043879,            0.057735,           0.0049691,             0.01366,           0.0085398,           0.0085398,           0.0085398
                  61,            0.049315,           0.0082714,           0.0092098,             0.43177,              0.2456,             0.19241,            0.054321,            0.056032,           0.0051277,            0.013289,            0.008515,            0.008515,            0.008515
                  62,             0.04933,           0.0079835,            0.010172,              0.1822,             0.32297,             0.17589,             0.05211,            0.056189,           0.0048855,            0.010956,           0.0084903,           0.0084903,           0.0084903
                  63,            0.049076,           0.0078823,           0.0094499,             0.49005,             0.23047,             0.15659,            0.059115,             0.05521,           0.0048337,             0.01284,           0.0084655,           0.0084655,           0.0084655
                  64,            0.047652,           0.0080212,           0.0089289,             0.23865,             0.21047,             0.17321,            0.061365,            0.055252,           0.0047942,            0.012138,           0.0084408,           0.0084408,           0.0084408
                  65,            0.046121,           0.0078237,           0.0075142,             0.45526,             0.23446,             0.17616,            0.056937,            0.055424,           0.0048758,            0.010278,            0.008416,            0.008416,            0.008416
                  66,            0.047106,           0.0080257,           0.0092354,             0.22982,             0.34351,             0.19504,            0.056379,            0.055045,           0.0050509,            0.010763,           0.0083913,           0.0083913,           0.0083913
                  67,             0.04646,           0.0078676,           0.0086412,             0.20314,             0.33763,             0.19896,             0.06127,            0.054758,           0.0049309,            0.011372,           0.0083665,           0.0083665,           0.0083665
                  68,            0.048493,           0.0082611,           0.0092978,             0.21554,             0.37559,             0.21499,            0.071323,            0.054244,           0.0048715,            0.011496,           0.0083418,           0.0083418,           0.0083418
                  69,            0.047819,            0.008028,           0.0086235,              0.1578,             0.34462,              0.1715,            0.055611,            0.055526,           0.0049948,             0.01183,            0.008317,            0.008317,            0.008317
                  70,            0.047436,           0.0073897,           0.0077356,             0.17117,             0.33064,             0.18946,            0.057898,            0.055877,           0.0048162,            0.010226,           0.0082922,           0.0082922,           0.0082922
                  71,            0.047099,            0.007515,           0.0085259,             0.19298,             0.25581,             0.17876,            0.059509,            0.056363,           0.0048579,            0.014772,           0.0082675,           0.0082675,           0.0082675
                  72,            0.047776,           0.0083863,           0.0086392,             0.42242,             0.18133,             0.18432,            0.065819,            0.055145,           0.0051103,            0.012034,           0.0082428,           0.0082428,           0.0082428
                  73,            0.046924,           0.0080396,           0.0083123,             0.44427,             0.21991,             0.23044,            0.059594,            0.056599,           0.0049464,            0.011872,            0.008218,            0.008218,            0.008218
                  74,            0.047704,           0.0079196,            0.008087,             0.46781,               0.219,             0.19446,            0.058639,            0.056072,           0.0050609,            0.012214,           0.0081932,           0.0081932,           0.0081932
                  75,            0.046822,           0.0075724,           0.0082084,             0.13176,             0.32805,             0.17843,            0.059273,            0.056138,           0.0049046,            0.011894,           0.0081685,           0.0081685,           0.0081685
                  76,            0.046761,           0.0075657,           0.0086471,             0.24244,             0.32786,             0.19571,            0.058101,            0.057508,           0.0048538,             0.01301,           0.0081437,           0.0081437,           0.0081437
                  77,            0.046599,           0.0076845,           0.0082514,             0.12032,             0.24872,             0.14716,            0.044251,            0.056749,           0.0049218,            0.012807,            0.008119,            0.008119,            0.008119
                  78,            0.046601,           0.0077384,           0.0074024,              0.1604,             0.29219,             0.19012,             0.05677,             0.05655,           0.0050198,            0.013837,           0.0080942,           0.0080942,           0.0080942
                  79,            0.045799,           0.0076411,           0.0071527,             0.21502,             0.28876,             0.21257,            0.069817,            0.055529,           0.0049691,            0.011951,           0.0080695,           0.0080695,           0.0080695
                  80,            0.047287,           0.0080818,           0.0073416,             0.22435,             0.31313,             0.20435,            0.063225,            0.056473,           0.0048416,            0.010205,           0.0080447,           0.0080447,           0.0080447
                  81,             0.04665,           0.0078511,           0.0076846,             0.20262,             0.29224,             0.18663,            0.057836,            0.054991,           0.0048863,           0.0094519,             0.00802,             0.00802,             0.00802
                  82,            0.045524,           0.0077892,           0.0082292,             0.18018,             0.30464,             0.18095,            0.057416,            0.055754,             0.00472,            0.011144,           0.0079953,           0.0079953,           0.0079953
                  83,            0.045885,           0.0080175,           0.0073581,             0.25255,              0.2915,             0.21405,            0.070986,            0.053906,           0.0049355,           0.0096404,           0.0079705,           0.0079705,           0.0079705
                  84,            0.045938,           0.0076442,           0.0074543,             0.17868,             0.30559,              0.1675,            0.053586,            0.056266,           0.0048989,            0.011302,           0.0079457,           0.0079457,           0.0079457
                  85,            0.045615,           0.0075801,           0.0072567,             0.19009,             0.34956,             0.20157,            0.064412,            0.055784,           0.0048689,            0.011751,            0.007921,            0.007921,            0.007921
